CODE,ORIG,value
957,927,2598
957,910,24
957,911,0
957,912,269
957,913,0
957,914,0
957,5500,0
957,906,625
957,920,394
957,5501,98
957,922,0
957,923,0
957,924,27
957,925,55
957,926,8756
957,915,0
957,916,0
957,931,0
957,905,2198
957,927,2598
957,928,2431
957,957,10646
