"","iso3","country","value"
"193","ESP","Spain",814234
"194","SSD","South Sudan",0
"195","SDN","Sudan",383710
"196","ESH","Western Sahara",1396
"197","SUR","Suriname",7403
"198","SWZ","Eswatini",12179
"199","SWE","Sweden",479249
"200","CHE","Switzerland",683653
"201","SYR","Syrian Arab Republic",190001
"202","TJK","Tajikistan",167658
"203","THA","Thailand",610074
"204","TGO","Togo",59758
"205","TKL","Tokelau",113
"206","TON","Tonga",499
"207","TTO","Trinidad and Tobago",20399
"208","ARE","United Arab Emirates",660567
"209","TUN","Tunisia",14669
"210","TUR","Turkey",608957
"211","TKM","Turkmenistan",115215
"212","TCA","Turks and Caicos Islands",3760
"213","TUV","Tuvalu",71
"214","UGA","Uganda",292301
"215","UKR","Ukraine",2934853
"216","MKD","North Macedonia",72503
"217","EGY","Egypt",81515
"218","GBR","United Kingdom of Great Britain and Northern Ireland",2482950
"219",NA,"Channel Islands",33371
"220","IMN","Isle of Man",19386
"221","TZA","United Republic of Tanzania",463938
"222","USA","United States of America",16793436
"223","VIR","United States Virgin Islands",28290
"224","BFA","Burkina Faso",252591
"225","URY","Uruguay",43927
"226","UZB","Uzbekistan",756788
"227","VEN","Venezuela (Bolivarian Republic of)",504956
"228","WLF","Wallis and Futuna Islands",977
"229","WSM","Samoa",2748
"230","YEM","Yemen",50156
"231","ZMB","Zambia",166056
